rating,company name,headquarters,founded,company_age,type of ownership,industry,sector,revenue,competitors,min_salary,max_salary,avg_salary,job_state,same_state,job_title,job_level,python,excel,sql,tableau,aws,spark,hadoop,azure,segment
3.1,Healthfirst,New York,1993,31,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna",137000,171000,154000.0,New York,1,Data scientist,Senior,0,0,0,0,1,0,0,1,Corporate
4.2,ManTech,Herndon,1968,56,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),NA,137000,171000,154000.0,Chantilly,0,Data scientist,NA,0,0,1,0,0,0,1,0,Corporate
3.8,Analysis Group,Boston,1981,43,Private Practice / Firm,Consulting,Business Services,$100 to $500 million (USD),NA,137000,171000,154000.0,Boston,1,Data scientist,NA,1,1,0,0,1,0,0,0,Corporate
3.5,INFICON,Bad Ragaz,2000,24,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",137000,171000,154000.0,Newton,0,Data scientist,NA,1,1,1,0,1,0,0,0,Middle
2.9,Affinity Solutions,New York,1998,26,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",137000,171000,154000.0,New York,1,Data scientist,NA,1,1,1,0,0,0,0,0,Middle
4.2,HG Insights,Santa Barbara,2010,14,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,NA,137000,171000,154000.0,Santa Barbara,1,Data scientist,NA,1,1,1,0,0,1,1,0,Middle
3.9,Novartis,Basel,1996,28,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),NA,137000,171000,154000.0,Cambridge,0,Data scientist,NA,1,0,0,0,0,0,0,0,Corporate
3.5,iRobot,Bedford,1990,34,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),NA,137000,171000,154000.0,Bedford,1,Data scientist,NA,1,0,1,0,0,0,0,0,Corporate
4.4,Intuit - Data,Mountain View,1983,41,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",137000,171000,154000.0,San Diego,0,Data scientist,NA,0,0,0,0,0,0,0,0,Corporate
3.6,XSELL Technologies,Chicago,2014,10,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,NA,137000,171000,154000.0,Chicago,1,Data scientist,NA,1,0,1,0,0,0,0,0,Middle
4.5,Novetta,Mc Lean,2012,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",137000,171000,154000.0,Herndon,0,Data scientist,NA,1,1,0,0,1,0,0,0,Middle
4.7,1904labs,Saint Louis,2016,8,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",137000,171000,154000.0,Saint Louis,1,Data scientist,NA,1,0,1,0,0,1,0,0,Middle
3.7,PNNL,Richland,1965,59,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",137000,171000,154000.0,Richland,1,Data scientist,NA,0,1,0,0,0,0,0,0,Corporate
3.1,Old World Industries,Northbrook,1973,51,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion (USD),NA,137000,171000,154000.0,Northbrook,1,NA,NA,1,1,1,1,0,0,0,0,Middle
3.4,Mathematica Policy Research,Princeton,1986,38,Company - Private,Consulting,Business Services,$100 to $500 million (USD),NA,137000,171000,154000.0,Washington,0,Data scientist,NA,1,1,0,0,1,0,0,0,Corporate
4.4,Guzman & Griffin Technologies (GGTI),Mays Landing,1997,27,Company - Private,Federal Agencies,Government,Unknown / Non-Applicable,NA,137000,171000,154000.0,Washington,0,Data scientist,NA,1,1,1,1,0,1,1,0,Small
4.1,Upside Business Travel,Washington,2015,9,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,NA,137000,171000,154000.0,NA,0,Data scientist,NA,1,0,0,0,0,0,0,0,Middle
3.5,Buckman,Memphis,1945,79,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),NA,137000,171000,154000.0,Memphis,1,Data scientist,NA,1,0,1,0,0,0,1,1,Corporate
4.2,"Insight Enterprises, Inc.",Tempe,1988,36,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International",137000,171000,154000.0,Plano,0,Analyst,NA,0,1,0,0,0,0,0,0,Corporate
3.5,Tower Health,Reading,2017,7,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,NA,137000,171000,154000.0,West Grove,0,NA,NA,0,0,0,0,0,0,0,0,Corporate
